https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1608932280,2020-12-25 21:38:00,BTC/EUR,19950.00,19960.00,19946.73,19957.08,0.21266010,4244.074628508
1608932220,2020-12-25 21:37:00,BTC/EUR,19944.48,19949.01,19928.31,19946.65,0.52648390,10501.590083935002
1608932160,2020-12-25 21:36:00,BTC/EUR,19903.77,19937.80,19901.35,19937.80,0.36517251,7280.736469878
1608932100,2020-12-25 21:35:00,BTC/EUR,19923.45,19923.45,19900.00,19903.77,0.53535509,10655.5845796893
1608932040,2020-12-25 21:34:00,BTC/EUR,19940.80,19948.22,19923.03,19923.45,0.70078382,13962.031398579
1608931980,2020-12-25 21:33:00,BTC/EUR,19916.91,19943.16,19916.91,19939.81,0.69889303,13935.7942285243
1608931920,2020-12-25 21:32:00,BTC/EUR,19923.87,19923.88,19906.78,19908.00,0.25307737,5038.2642819600005
1608931860,2020-12-25 21:31:00,BTC/EUR,19900.23,19924.89,19888.22,19924.89,12.35049997,246082.3533472533
1608931800,2020-12-25 21:30:00,BTC/EUR,19915.82,19915.82,19902.35,19907.95,1.69201755,33684.6007845225
1608931740,2020-12-25 21:29:00,BTC/EUR,19916.82,19916.82,19903.31,19906.46,0.47880232,9531.2592309872
1608931680,2020-12-25 21:28:00,BTC/EUR,19904.16,19916.45,19904.16,19904.88,0.26928408,5360.0672983104
1608931620,2020-12-25 21:27:00,BTC/EUR,19897.51,19905.80,19892.57,19894.55,1.67235798,33270.809451008994
1608931560,2020-12-25 21:26:00,BTC/EUR,19902.02,19910.03,19888.50,19896.23,3.86187458,76836.7448748334
1608931500,2020-12-25 21:25:00,BTC/EUR,19914.19,19914.19,19888.41,19899.94,2.07854805,41362.981482117
1608931440,2020-12-25 21:24:00,BTC/EUR,19903.84,19917.72,19870.46,19906.16,3.47421806,69158.3405772496
1608931380,2020-12-25 21:23:00,BTC/EUR,19882.80,19915.40,19882.80,19903.84,8.66315698,172430.0904248032
1608931320,2020-12-25 21:22:00,BTC/EUR,19892.98,19918.58,19879.39,19881.51,12.70227992,252540.5052522792
1608931260,2020-12-25 21:21:00,BTC/EUR,19889.70,19900.00,19873.33,19900.00,2.25342331,44843.123869
1608931200,2020-12-25 21:20:00,BTC/EUR,19881.98,19899.09,19866.28,19889.70,0.74853884,14888.212965948002
1608931140,2020-12-25 21:19:00,BTC/EUR,19854.48,19881.98,19845.34,19881.98,1.74136833,34621.8503096934
1608931080,2020-12-25 21:18:00,BTC/EUR,19869.63,19882.17,19842.71,19863.71,2.81019799,55820.95791594289
1608931020,2020-12-25 21:17:00,BTC/EUR,19859.15,19901.02,19859.15,19888.44,0.50380692,10019.9337000048
1608930960,2020-12-25 21:16:00,BTC/EUR,19953.48,19953.48,19845.24,19875.10,11.76165325,233764.034509075
1608930900,2020-12-25 21:15:00,BTC/EUR,19962.97,19986.14,19949.74,19962.76,6.53019778,130360.77103467278
1608930840,2020-12-25 21:14:00,BTC/EUR,19982.46,19987.95,19966.66,19977.13,4.16325662,83169.9187211006
1608930780,2020-12-25 21:13:00,BTC/EUR,19990.51,19990.51,19968.73,19968.73,9.23401071,184391.4666850983
1608930720,2020-12-25 21:12:00,BTC/EUR,20015.89,20015.89,19996.49,20004.71,0.88623190,17728.812152249
1608930660,2020-12-25 21:11:00,BTC/EUR,20005.33,20017.47,20005.33,20016.47,0.48178311,9643.597167821701
1608930600,2020-12-25 21:10:00,BTC/EUR,20003.21,20005.33,19985.88,20005.33,1.18215128,23649.326466322404
1608930540,2020-12-25 21:09:00,BTC/EUR,20004.01,20004.01,19988.43,19992.85,0.83769411,16747.8926871135
1608930480,2020-12-25 21:08:00,BTC/EUR,20014.00,20014.00,19995.92,19999.55,1.67682713,33535.788027791496
1608930420,2020-12-25 21:07:00,BTC/EUR,19993.92,20012.39,19992.97,20003.30,3.25278053,65066.34477574899
1608930360,2020-12-25 21:06:00,BTC/EUR,19981.19,20006.65,19981.19,19999.44,7.10328960,142061.814157824
1608930300,2020-12-25 21:05:00,BTC/EUR,20012.64,20012.65,19991.99,19991.99,0.05484465,1096.4536943535002
1608930240,2020-12-25 21:04:00,BTC/EUR,20016.26,20022.38,20003.89,20012.64,7.96007341,159302.0835279024
1608930180,2020-12-25 21:03:00,BTC/EUR,20031.04,20031.04,20006.14,20006.14,0.13554482,2711.7286451948003
1608930120,2020-12-25 21:02:00,BTC/EUR,20029.88,20047.02,20025.36,20033.78,3.99832514,80101.5662232292
1608930060,2020-12-25 21:01:00,BTC/EUR,20032.79,20039.10,20030.00,20032.45,2.93922947,58879.9673963015
1608930000,2020-12-25 21:00:00,BTC/EUR,20042.14,20042.14,20020.82,20031.79,5.52266685,110628.90257916151
1608929940,2020-12-25 20:59:00,BTC/EUR,20037.88,20042.14,20037.88,20042.14,0.18145000,3636.646303
1608929880,2020-12-25 20:58:00,BTC/EUR,20057.59,20057.59,20026.84,20038.74,0.02028945,406.57501329300004
1608929820,2020-12-25 20:57:00,BTC/EUR,20028.73,20050.71,20028.73,20050.71,0.07646819,1533.2415019149
1608929760,2020-12-25 20:56:00,BTC/EUR,20037.75,20043.60,20017.06,20028.73,1.30883897,26214.3823436081
1608929700,2020-12-25 20:55:00,BTC/EUR,20041.65,20041.65,20019.01,20025.73,0.43314868,8674.1185155364
1608929640,2020-12-25 20:54:00,BTC/EUR,20051.37,20051.37,20032.48,20037.24,0.18204806,3647.7406697544006
1608929580,2020-12-25 20:53:00,BTC/EUR,20051.67,20061.66,20051.36,20051.37,0.59423786,11915.2831988682
1608929520,2020-12-25 20:52:00,BTC/EUR,20038.14,20061.44,20038.13,20050.00,0.65644561,13161.734480500001
1608929460,2020-12-25 20:51:00,BTC/EUR,20039.02,20052.49,20025.99,20040.98,0.37811232,7577.7414428736
1608929400,2020-12-25 20:50:00,BTC/EUR,20059.21,20070.00,20033.69,20047.10,0.72603922,14554.980847261999
1608929340,2020-12-25 20:49:00,BTC/EUR,20041.85,20062.00,20041.85,20059.87,0.37782804,7579.181364754799
1608929280,2020-12-25 20:48:00,BTC/EUR,20048.99,20055.84,20048.99,20055.84,0.23318322,4676.6853510048
1608929220,2020-12-25 20:47:00,BTC/EUR,20023.85,20041.76,20023.85,20040.36,0.95103840,19059.151909824
1608929160,2020-12-25 20:46:00,BTC/EUR,20025.55,20027.10,20008.37,20008.37,7.03954077,140849.7363562449
1608929100,2020-12-25 20:45:00,BTC/EUR,20022.70,20026.32,20012.48,20026.32,0.09999927,2002.6173807864
1608929040,2020-12-25 20:44:00,BTC/EUR,20009.74,20030.00,20009.74,20029.27,0.53711397,10758.000725901902
1608928980,2020-12-25 20:43:00,BTC/EUR,20020.31,20020.31,19999.08,20010.73,0.98769316,19764.4611476068
1608928920,2020-12-25 20:42:00,BTC/EUR,20030.00,20030.00,20018.19,20021.31,1.04962774,21014.922367139403
1608928860,2020-12-25 20:41:00,BTC/EUR,20026.13,20026.13,20007.66,20021.30,1.71327288,34301.950312344
1608928800,2020-12-25 20:40:00,BTC/EUR,20029.00,20029.00,20013.53,20021.49,5.10180788,102145.79545134121
1608928740,2020-12-25 20:39:00,BTC/EUR,20019.85,20030.00,20017.86,20030.00,0.24127373,4832.7128119
1608928680,2020-12-25 20:38:00,BTC/EUR,20016.13,20033.41,20013.22,20033.41,0.20894414,4185.8636237174
1608928620,2020-12-25 20:37:00,BTC/EUR,19996.54,20020.37,19996.54,20007.71,6.64418459,132934.9184631889
1608928560,2020-12-25 20:36:00,BTC/EUR,20007.39,20020.77,20007.39,20014.91,0.14585489,2919.2724964098998
1608928500,2020-12-25 20:35:00,BTC/EUR,19989.85,20017.73,19988.11,20001.91,0.92647608,18531.2911693128
1608928440,2020-12-25 20:34:00,BTC/EUR,19973.11,19992.85,19959.31,19989.86,0.62447756,12483.2189975416
1608928380,2020-12-25 20:33:00,BTC/EUR,19980.00,19990.59,19968.90,19973.10,0.88519512,17680.090651272
1608928320,2020-12-25 20:32:00,BTC/EUR,20003.64,20003.64,19990.96,19991.50,0.67896665,13573.561783475001
1608928260,2020-12-25 20:31:00,BTC/EUR,20001.88,20003.64,19990.23,20003.64,0.37650723,7531.5150863172
1608928200,2020-12-25 20:30:00,BTC/EUR,20011.99,20011.99,19992.39,19998.89,0.71157445,14230.6991523605
1608928140,2020-12-25 20:29:00,BTC/EUR,20011.00,20019.37,19998.28,20007.19,1.17921898,23592.858184466197
1608928080,2020-12-25 20:28:00,BTC/EUR,19997.43,20031.98,19994.94,20031.98,1.11703771,22376.4770659658
1608928020,2020-12-25 20:27:00,BTC/EUR,20026.86,20034.43,20006.12,20018.42,1.42551723,28536.6026273766
1608927960,2020-12-25 20:26:00,BTC/EUR,20019.85,20032.10,20017.89,20026.86,0.14151109,2834.0227878774003
1608927900,2020-12-25 20:25:00,BTC/EUR,20015.89,20021.23,20005.52,20021.23,0.09913860,1984.8767124779997
1608927840,2020-12-25 20:24:00,BTC/EUR,20013.11,20019.90,20011.46,20019.90,0.48322362,9674.088550038
1608927780,2020-12-25 20:23:00,BTC/EUR,20016.78,20028.09,19992.61,20014.14,1.02332900,20481.049872059997
1608927720,2020-12-25 20:22:00,BTC/EUR,20000.22,20000.22,19987.63,19991.56,1.24629265,24915.334290034003
1608927660,2020-12-25 20:21:00,BTC/EUR,20019.53,20019.53,20001.26,20007.20,2.25842573,45184.775265256
1608927600,2020-12-25 20:20:00,BTC/EUR,20011.01,20018.56,20001.32,20015.23,7.17538788,143617.0387574124
1608927540,2020-12-25 20:19:00,BTC/EUR,20024.76,20031.42,20017.58,20027.94,3.66022191,73306.7048001654
1608927480,2020-12-25 20:18:00,BTC/EUR,20015.85,20037.00,20015.55,20034.88,0.61711761,12363.8772622368
1608927420,2020-12-25 20:17:00,BTC/EUR,20034.64,20034.64,20018.39,20018.39,0.22304786,4465.0590501454
1608927360,2020-12-25 20:16:00,BTC/EUR,20058.33,20058.33,20038.93,20038.93,0.01867617,374.2504632981
1608927300,2020-12-25 20:15:00,BTC/EUR,20051.51,20056.35,20046.28,20046.28,0.53809873,10786.8778092244
1608927240,2020-12-25 20:14:00,BTC/EUR,20024.09,20050.00,20017.30,20050.00,14.58117779,292352.6146895
1608927180,2020-12-25 20:13:00,BTC/EUR,20026.46,20033.91,20013.54,20033.91,0.65480323,13118.268977529298
1608927120,2020-12-25 20:12:00,BTC/EUR,20023.58,20038.92,20012.92,20037.88,0.32481183,6508.5404721204
1608927060,2020-12-25 20:11:00,BTC/EUR,20001.74,20030.38,20000.00,20024.42,3.97937390,79684.654310638
1608927000,2020-12-25 20:10:00,BTC/EUR,20011.56,20027.98,19980.61,19995.25,1.85848560,37160.8841934
1608926940,2020-12-25 20:09:00,BTC/EUR,19989.61,20011.10,19989.61,20002.64,1.00045394,20011.7199984016
1608926880,2020-12-25 20:08:00,BTC/EUR,20035.16,20035.16,19985.38,19991.42,2.83900958,56755.83289780359
1608926820,2020-12-25 20:07:00,BTC/EUR,19999.00,20035.16,19989.23,20035.16,1.11677448,22374.755390716797
1608926760,2020-12-25 20:06:00,BTC/EUR,20006.83,20006.83,19987.10,19996.93,1.19596082,23915.5448002826
1608926700,2020-12-25 20:05:00,BTC/EUR,20014.65,20020.78,19980.26,19991.57,3.57307070,71431.293013999
1608926640,2020-12-25 20:04:00,BTC/EUR,20027.98,20027.98,19996.49,20014.32,0.78856519,15782.5960535208
1608926580,2020-12-25 20:03:00,BTC/EUR,20052.51,20052.51,20030.63,20035.80,0.80465588,16121.924280504
1608926520,2020-12-25 20:02:00,BTC/EUR,20063.17,20064.75,20048.03,20061.70,3.00739596,60333.47553073201
1608926460,2020-12-25 20:01:00,BTC/EUR,20066.45,20066.45,20049.03,20052.32,1.37314902,27534.823556726402
1608926400,2020-12-25 20:00:00,BTC/EUR,20049.17,20071.68,20040.30,20071.58,3.15687790,63363.52732008201
1608926340,2020-12-25 19:59:00,BTC/EUR,20036.14,20040.52,20029.37,20036.37,0.10238262,2051.3760558893996
1608926280,2020-12-25 19:58:00,BTC/EUR,20035.48,20049.65,20033.85,20033.85,0.51170757,10251.4727012445
1608926220,2020-12-25 19:57:00,BTC/EUR,20049.93,20049.93,20030.59,20034.48,0.98901307,19814.3625706536
1608926160,2020-12-25 19:56:00,BTC/EUR,20046.76,20055.66,20042.67,20049.93,0.12896550,2585.7492474150004
1608926100,2020-12-25 19:55:00,BTC/EUR,20037.80,20060.91,20034.78,20054.71,1.29101508,25890.9330350268
1608926040,2020-12-25 19:54:00,BTC/EUR,20031.25,20043.74,20019.00,20033.77,1.87734721,37610.3422152817
1608925980,2020-12-25 19:53:00,BTC/EUR,20034.44,20052.29,20014.91,20040.88,1.00129816,20066.896268780798
1608925920,2020-12-25 19:52:00,BTC/EUR,20062.81,20074.50,20039.43,20040.33,0.64213122,12868.521552102602
1608925860,2020-12-25 19:51:00,BTC/EUR,20031.53,20049.00,20030.63,20033.84,3.15774587,63261.7755202408
1608925800,2020-12-25 19:50:00,BTC/EUR,20007.14,20021.45,20006.55,20021.45,0.41551053,8319.1233008685
1608925740,2020-12-25 19:49:00,BTC/EUR,20013.92,20031.89,19988.55,20024.19,2.54716039,51004.8236098341
1608925680,2020-12-25 19:48:00,BTC/EUR,20051.13,20051.13,19974.59,20019.28,2.68686000,53789.00266079999
1608925620,2020-12-25 19:47:00,BTC/EUR,20100.00,20100.00,20064.21,20068.67,3.54056277,71054.38584541589
1608925560,2020-12-25 19:46:00,BTC/EUR,20084.27,20100.00,20071.41,20100.00,2.16265671,43469.399870999994
1608925500,2020-12-25 19:45:00,BTC/EUR,20075.04,20098.89,20046.16,20085.40,1.57651189,31664.871915406
